YEAR;MANUSE;MANUSE_sum;MANUSE_ratio
2004;1.0;2514;0.233
2004;2.0;8297;0.767
2005;1.0;2245;0.262
2005;2.0;6334;0.738
2006;1.0;2421;0.256
2006;2.0;7047;0.744
2007;1.0;2264;0.242
2007;2.0;7091;0.758
2008;1.0;2020;0.207
2008;2.0;7721;0.793
2009;1.0;1030;0.161
2009;2.0;5367;0.839
2010;1.0;883;0.160
2010;2.0;4627;0.840
2011;1.0;832;0.179
2011;2.0;3819;0.821
2012;1.0;571;0.177
2012;2.0;2652;0.823
2013;1.0;588;0.186
2013;2.0;2570;0.814
2014;1.0;536;0.189
2014;2.0;2303;0.811
2015;1.0;428;0.176
2015;2.0;2010;0.824
